image,label
0104_10_31_23_i697602_id10419_cn1578133916795019000_thr956.Sgl .jpg,materials
0104_10_35_17_i698108_id10502_cn1578134175169904000_thr974. looks_different.jpg,bag
0104_10_35_33_i698119_id10549_cn1578134175169904000_thr992. .jpg,no
0104_10_35_33_i698119_id10550_cn1578134149504089000_thr988. .jpg,bag
0104_10_35_41_i698122_id10567_cn1578134204298373000_thr968.In_bord looks_different.jpg,cables
0104_10_35_57_i698131_id10608_cn1578134215684594000_thr991. looks_different.jpg,no
0104_10_35_58_i698133_id10618_cn1578134215684594000_thr979.Out looks_different.jpg,no
0104_10_36_06_i698137_id10636_cn1578134239714810000_thr995.Sgl .jpg,backpack
0104_10_36_24_i698147_id10687_cn1578134239568831000_thr964.Out .jpg,bag
0104_10_36_33_i698151_id10697_cn1578134239936539000_thr998. looks_different.jpg,backpack
0104_10_52_11_i698817_id10817_cn1578135254859818000_thr996. .jpg,backpack
0104_10_52_11_i698820_id10825_cn1578135254859818000_thr985. .jpg,backpack
0104_10_52_52_i698832_id10856_cn1578135275752934000_thr1000. .jpg,no
0104_11_00_21_i699032_id10883_cn1578135689440992000_thr979.In .jpg,materials
0104_11_10_06_i699588_id10979_cn1578136092003413000_thr866.Out looks_different.jpg,materials
0104_11_57_54_i703847_id11484_cn1578139151539376000_thr997.Out_bord looks_different.jpg,backpack
0104_13_34_25_i21260_id1225_cn1578144866872277000_thr949.In_bord .jpg,bag
0104_13_35_30_i21913_id1286_cn1578144932163387000_thr752.Sgl .jpg,materials
0104_13_35_36_i21969_id1341_cn1578144937775108000_thr970.Sg_bord looks_different.jpg,no
0104_13_47_12_i28929_id1569_cn1578145633048818000_thr979. crossing.jpg,materials
0104_14_07_14_i40944_id1954_cn1578146834093360000_thr992. crossing.jpg,materials
0104_14_07_15_i40955_id1965_cn1578146834093360000_thr695. crossing.jpg,materials
0104_14_24_10_i51107_id2219_cn1578147840694354000_thr504. crossing.jpg,utils
0104_14_26_01_i52215_id2412_cn1578147952944522000_thr689.Out .jpg,materials
0104_14_27_43_i53235_id2475_cn1578148065101306000_thr888.In_bord .jpg,materials
0104_14_30_36_i54962_id2634_cn1578148229702523000_thr901. .jpg,materials
0104_15_14_18_i81183_id3256_cn1578150859599107000_thr784. crossing.jpg,no
0104_15_15_16_i81758_id3462_cn1578150918014540000_thr990.In_bord .jpg,household
0104_15_15_17_i81769_id3473_cn1578150919088610000_thr821.Sgl .jpg,household
0104_15_15_17_i81773_id3477_cn1578150919489790000_thr839.In looks_different.jpg,materials
0104_15_15_18_i81783_id3487_cn1578150920507376000_thr898.Sgl .jpg,materials
0104_15_54_10_i105091_id5480_cn1578153252355437000_thr955.Sgl looks_different.jpg,no
0104_15_57_13_i106922_id5557_cn1578153435088586000_thr998.In looks_different.jpg,utils
0104_15_57_14_i106929_id5564_cn1578153435088586000_thr978.Out_bord looks_different.jpg,utils
0104_16_13_52_i116907_id6213_cn1578154433905458000_thr740.In_bord looks_different.jpg,utils
0104_16_39_50_i132488_id6737_cn1578155994134536000_thr931.In .jpg,no
0104_16_43_10_i134478_id6827_cn1578156196693146000_thr875.In .jpg,no
0104_16_43_20_i134533_id6911_cn1578156207704413000_thr998. .jpg,cables
0105_09_36_29_i733040_id9813_cn1578216995359942000_thr875. .jpg,papers
0105_09_36_48_i733070_id9851_cn1578216995359942000_thr985. .jpg,cables
0105_09_44_52_i737046_id9997_cn1578217507475390000_thr997.Out .jpg,no
0105_09_51_33_i740159_id10175_cn1578217874521076000_thr941. .jpg,cables
0105_09_56_29_i741815_id10353_cn1578218218932667000_thr923.Out looks_different.jpg,no
0105_09_57_11_i741876_id10371_cn1578218265671485000_thr701.Out looks_different.jpg,no
0105_10_06_50_i744880_id10571_cn1578218839439647000_thr641. looks_different.jpg,no
0105_10_54_27_i761346_id11453_cn1578221704536721000_thr791. looks_different.jpg,no
0105_10_54_27_i761352_id11465_cn1578221704536721000_thr989.Out .jpg,no
0105_10_54_39_i761356_id11474_cn1578221774845636000_thr960.Sgl looks_different.jpg,no
0105_11_27_48_i770336_id11869_cn1578223727936400000_thr1000. .jpg,no
0105_11_48_15_i777115_id12063_cn1578224983043081000_thr998.Out looks_different.jpg,no
0105_13_11_38_i800505_id12673_cn1578229996078068000_thr757.Sgl .jpg,materials
0105_13_58_10_i572_id119_cn1578232688271088000_thr520.Out looks_different.jpg,no
0105_14_00_14_i1811_id558_cn1578232815422111000_thr992. .jpg,cables
0105_14_12_00_i8873_id1682_cn1578233522564828000_thr526.In .jpg,no
0105_14_17_09_i11958_id2460_cn1578233828571158000_thr955. crossing.jpg,cables
0105_14_32_42_i21288_id3038_cn1578234761285156000_thr976.Out .jpg,no
0105_14_32_44_i21303_id3071_cn1578234765784062000_thr996.Out .jpg,no
0105_14_47_31_i30178_id3362_cn1578235652640496000_thr993. crossing.jpg,no
0105_15_30_19_i55850_id3819_cn1578238220224541000_thr991. crossing.jpg,materials
0105_16_02_43_i75286_id4472_cn1578240165544573000_thr985.In_bord looks_different.jpg,cables
0105_16_11_10_i80351_id4544_cn1578240668220037000_thr803.Out looks_different.jpg,cables
0105_16_20_22_i85870_id4600_cn1578241224277207000_thr907.In .jpg,utils
0105_16_20_28_i85928_id4633_cn1578241229978128000_thr815.Sgl .jpg,utils
0105_16_30_50_i92150_id5078_cn1578241851727184000_thr997. crossing.jpg,materials
0105_16_47_46_i102312_id5250_cn1578242866407805000_thr987. crossing.jpg,no
0106_08_43_19_i673780_id6576_cn1578300217122615000_thr973.In looks_different.jpg,bag
0106_10_52_39_i742901_id7865_cn1578307978015152000_thr779.Sg_bord .jpg,no
0106_11_09_20_i750469_id8276_cn1578308995851429000_thr958.In .jpg,no
0106_11_23_33_i755048_id8594_cn1578309848174827000_thr987. crossing.jpg,no
0106_11_27_19_i755925_id8684_cn1578310063296545000_thr885.In_bord .jpg,materials
0106_11_40_04_i760252_id8921_cn1578310798198907000_thr769.Out_bord looks_different.jpg,utils
0106_11_48_05_i764148_id8990_cn1578311320025381000_thr805.In .jpg,no
0106_11_51_24_i764947_id9073_cn1578311526721546000_thr969. looks_different.jpg,utils
0106_12_21_00_i772087_id9676_cn1578313307095760000_thr772.In .jpg,utils
0106_12_21_00_i772088_id9678_cn1578313307095760000_thr542.Out .jpg,utils
0106_12_28_01_i773610_id9822_cn1578313733121615000_thr826.Sg_bord .jpg,cables
0106_12_51_54_i778433_id10381_cn1578315167839656000_thr654.In .jpg,materials
0106_13_31_13_i792291_id10668_cn1578317600057160000_thr890.Sgl .jpg,no
0114_09_55_21_i552092_id9828_tcn-9828_cn1578995723306371000_thr999.Sgl_different_place.jpg,bag
0114_10_18_12_i565800_id10329_tcn-10329_cn1578997093826553000_thr996.In_bord_.jpg,no
0114_10_32_44_i574524_id11923_tcn-11923_cn1578997967001402000_thr995.Sgl_different_place.jpg,no
0114_11_29_01_i608308_id13831_tcn-13831_cn1579001343457488000_thr996.Sgl_different_place.jpg,no
0114_12_12_55_i634650_id16472_tcn-16472_cn1579003977147576000_thr792.Sg_bord_different_place.jpg,no
0114_12_20_46_i639363_id17476_tcn-17476_cn1579004448280096000_thr928.Sg_bord_different_place.jpg,no
0114_12_42_50_i652611_id18530_tcn-18529_cn1579005771915536000_thr951.Out_different_place.jpg,no
0114_13_12_09_i670203_id20354_tcn-20354_cn1579007531444597000_thr925.Sg_bord_different_place.jpg,no
0114_13_12_22_i670332_id20453_tcn-20453_cn1579007544683882000_thr924.Sg_bord_different_place.jpg,no
0114_13_14_55_i671859_id20638_tcn-20638_cn1579007697724352000_thr990.In_bord_.jpg,no
0114_13_17_03_i673140_id21054_tcn-21054_cn1579007825250650000_thr999._different_place.jpg,no
0114_15_25_22_i749956_id27835_tcn-27834_cn1579015524444437000_thr983.Out_.jpg,backpack
0114_15_57_14_i768951_id31844_tcn-31844_cn1579017437187285000_thr925.Sg_bord_crossing.jpg,no
0114_16_20_43_i782947_id34142_tcn-34142_cn1579018848728515000_thr764.Sg_bord_.jpg,no
0115_10_19_10_i1427697_id55692_tcn-55692_cn1579083557756288000_thr969.Sgl_looks_different.jpg,materials
0115_10_25_56_i1431374_id56199_tcn-56199_cn1579083963343536000_thr543.Out_crossing.jpg,no
0115_13_22_12_i1529968_id69062_tcn-69062_cn1579094537502142000_thr999.Out_different_place.jpg,bag
0115_13_30_47_i1534303_id70091_tcn-70091_cn1579095055759491000_thr830.Out_crossing.jpg,no
0115_13_30_52_i1534320_id70108_tcn-70108_cn1579095060752979000_thr988.Sg_bord_looks_different.jpg,no
0115_13_35_52_i1536975_id70459_tcn-70459_cn1579095359732682000_thr763.Sgl_crossing.jpg,no
0115_13_52_22_i1546069_id71070_tcn-71062_cn1579096349396301000_thr997._crossing.jpg,papers
0115_15_01_05_i1583426_id74984_tcn-74984_cn1579100469133556000_thr820._different_place.jpg,materials
0115_15_40_52_i1604966_id76941_tcn-76941_cn1579102857748765000_thr728.Sgl_crossing.jpg,wheelbarrow
0116_11_53_05_i2295213_id99366_tcn-99366_cn1579175593077292000_thr999.Sgl_different_place.jpg,no
0116_14_17_37_i2365589_id109030_tcn-109028_cn1579184264581935000_thr936._different_place.jpg,no
0116_14_18_42_i2365973_id109243_tcn-109205_cn1579184324487382000_thr916._.jpg,no
0116_14_29_35_i2370895_id110093_tcn-110093_cn1579184987908680000_thr916.Sgl_crossing.jpg,no
0117_10_13_50_i3013322_id135206_tcn-135206_cn1579256041575489000_thr756.Sgl_different_place.jpg,no
0117_10_40_26_i3026862_id136053_tcn-136053_cn1579257641283662000_thr964.In_bord_.jpg,no
0117_11_13_14_i3040925_id138889_tcn-138889_cn1579259609670633000_thr796.Sgl_.jpg,no
0117_16_15_35_i3177866_id156965_tcn-156965_cn1579277751383053000_thr988.Sgl_different_place.jpg,no
0118_09_27_07_i3777438_id161178_tcn-161178_cn1579339636552342000_thr857.Sg_bord_different_place.jpg,no
0118_09_31_52_i3779851_id161319_tcn-161319_cn1579339922237944000_thr985.In_bord_.jpg,no
0118_09_53_47_i3789232_id162179_tcn-162179_cn1579341230353109000_thr948.Out_different_place.jpg,no
0118_10_44_37_i3812062_id164584_tcn-164578_cn1579344292653503000_thr940.Out_looks_different.jpg,no
0118_12_07_40_i3852733_id167160_tcn-167160_cn1579349253934954000_thr994._looks_different.jpg,no
0118_12_15_16_i3856357_id167505_tcn-167471_cn1579349714768802000_thr983._.jpg,no
0118_12_17_26_i3857466_id167544_tcn-167544_cn1579349856054583000_thr748.Sg_bord_different_place.jpg,cables
0118_13_47_58_i3904142_id169546_tcn-169538_cn1579355287683946000_thr949.Out_bord_.jpg,no
0118_15_43_37_i3963250_id172373_tcn-172373_cn1579362231560015000_thr905._different_place.jpg,utils
0119_10_27_27_i4578785_id183150_tcn-183150_cn1579429656209276000_thr916.In_bord_.jpg,no
0119_10_28_13_i4578941_id183246_tcn-183246_cn1579429698775874000_thr604.Out_bord_.jpg,no
0119_12_52_56_i4645214_id189270_tcn-189270_cn1579438393582846000_thr989.Sgl_crossing.jpg,no
0120_11_32_06_i5314454_id213319_tcn-213319_cn1579519935887974000_thr598._.jpg,no
0120_11_40_07_i5315847_id214165_tcn-214165_cn1579520422436453000_thr867._looks_different.jpg,materials
0120_15_53_57_i5416030_id224903_tcn-224865_cn1579535651402411000_thr986.Out_.jpg,no
0121_09_50_26_i5997046_id233561_tcn-233561_cn1579600250512232000_thr985.Sgl_different_place.jpg,no
0121_12_00_28_i6042948_id252332_tcn-252332_cn1579608044880107000_thr885.Sgl_crossing.jpg,no
0121_15_44_52_i6116396_id264952_tcn-264952_cn1579621517348057000_thr887.Sgl_different_place.jpg,no
0121_16_31_19_i6132337_id266956_tcn-266956_cn1579624306914416000_thr697.In_.jpg,no
0121_16_49_42_i6138529_id267943_tcn-267943_cn1579625394268374000_thr756.Sg_bord_different_place.jpg,no
0122_09_56_46_i6680222_id276327_tcn-276327_cn1579687020781020000_thr999.Sgl_crossing.jpg,no
0122_10_19_48_i6685460_id277906_tcn-277906_cn1579688376397524000_thr677.Out_bord_.jpg,no
0122_10_20_31_i6685534_id278022_tcn-278022_cn1579688459503789000_thr994.Sgl_different_place.jpg,backpack
0122_10_40_28_i6690502_id280068_tcn-280068_cn1579689643105600000_thr997.Out_.jpg,no
0122_10_49_06_i6691721_id280638_tcn-280638_cn1579690172207019000_thr884.In_.jpg,backpack
0122_11_07_30_i6695408_id281920_tcn-281920_cn1579691267141266000_thr948._different_place.jpg,no
0122_11_35_43_i6703315_id283320_tcn-283320_cn1579692956541191000_thr919.Sg_bord_different_place.jpg,no
0122_12_52_03_i6730002_id285806_tcn-285806_cn1579697538065368000_thr583.Out_.jpg,materials
0122_13_50_20_i6753333_id287356_tcn-287356_cn1579701045064327000_thr787.Sgl_.jpg,no
0122_13_54_14_i6753859_id287581_tcn-287581_cn1579701278915924000_thr714.Out_bord_.jpg,no
0122_14_03_56_i6756118_id288183_tcn-288183_cn1579701865935371000_thr993.Sgl_crossing.jpg,no
0123_09_20_35_i513184_id22517_tcn-22517_cn1579771238879624000_thr860.Sgl_looks_different.jpg,utils
0123_09_28_01_i516947_id26662_tcn-26662_cn1579771684572553000_thr793.Sgl_.jpg,no
0123_09_28_15_i517085_id26735_tcn-26735_cn1579771698043920000_thr999._crossing.jpg,no
0123_10_04_24_i537111_id34766_tcn-34766_cn1579773867553691000_thr997._different_place.jpg,no
0123_10_08_15_i538982_id36149_tcn-36149_cn1579774101123360000_thr959.Sg_bord_.jpg,no
0123_10_55_31_i566415_id39553_tcn-39553_cn1579776930928410000_thr644.Out_bord_.jpg,no
0123_11_58_12_i595822_id55964_tcn-55964_cn1579780696187457000_thr999._different_place.jpg,no
0123_12_18_21_i604764_id58531_tcn-58531_cn1579781909154011000_thr604.In_.jpg,no
0123_12_34_53_i614172_id59299_tcn-59299_cn1579782901829622000_thr925.Sgl_crossing.jpg,no
0123_13_12_37_i634526_id62196_tcn-62196_cn1579785165106422000_thr723.Sg_bord_crossing.jpg,bag
0123_14_04_49_i663358_id64717_tcn-64717_cn1579788295729598000_thr951.Sgl_crossing.jpg,utils
0123_14_09_13_i665188_id65403_tcn-65403_cn1579788558875047000_thr807.Sg_bord_looks_different.jpg,no
0123_14_16_30_i668728_id66111_tcn-66111_cn1579788995204647000_thr976.Out_bord_different_place.jpg,utils
0123_14_17_43_i669349_id66253_tcn-66253_cn1579789070222785000_thr887._different_place.jpg,no
0123_14_29_18_i675437_id67073_tcn-67073_cn1579789764650998000_thr941._.jpg,bag
0123_14_58_12_i690465_id68864_tcn-68864_cn1579791499896898000_thr691.In_.jpg,materials
0123_14_58_35_i690600_id68971_tcn-68967_cn1579791517434729000_thr999._.jpg,no
0123_16_43_39_i742968_id76855_tcn-76855_cn1579797828534554000_thr597.In_.jpg,materials
0123_16_48_30_i745449_id77213_tcn-77213_cn1579798121345564000_thr999._crossing.jpg,bag
0123_16_48_47_i745501_id77293_tcn-77293_cn1579798136957671000_thr934.Sgl_different_place.jpg,no
0124_09_22_32_i1310051_id94754_tcn-94754_cn1579857765661983000_thr999.In_.jpg,backpack
0124_09_34_22_i1313774_id97141_tcn-97141_cn1579858469306075000_thr990.Sgl_crossing.jpg,no
0124_09_48_43_i1320487_id103441_tcn-103441_cn1579859330005934000_thr925.Sg_bord_different_place.jpg,no
0124_10_08_51_i1329188_id111412_tcn-111412_cn1579860539726270000_thr898._.jpg,utils
0124_13_00_42_i1416680_id121029_tcn-121029_cn1579870847433780000_thr995._different_place.jpg,bag
0124_13_07_51_i1420728_id121140_tcn-121140_cn1579871276456257000_thr568.Out_.jpg,utils
0124_17_32_43_i1563280_id140689_tcn-140689_cn1579887179745058000_thr886.Sgl_.jpg,no
0124_17_40_41_i1567750_id145059_tcn-145059_cn1579887655314536000_thr619.Out_.jpg,no
0125_08_13_19_i2068474_id151077_tcn-151077_cn1579940008141860000_thr981._crossing.jpg,backpack
0125_10_12_55_i2123775_id156721_tcn-156721_cn1579947193123526000_thr924.Sgl_different_place.jpg,utils
0125_10_24_31_i2126104_id158011_tcn-158011_cn1579947868803698000_thr694.Out_.jpg,materials
0125_10_42_17_i2128728_id161382_tcn-161382_cn1579948955606199000_thr752.Sgl_crossing.jpg,no
0125_11_29_16_i2143960_id165261_tcn-165192_cn1579951748143854000_thr1000._.jpg,no
0125_15_22_19_i2238452_id178586_tcn-178586_cn1579965745893896000_thr610._different_place.jpg,bag
0125_16_10_41_i2259163_id180890_tcn-180890_cn1579968662047078000_thr985.Sgl_different_place.jpg,no
0125_17_03_00_i2277905_id182516_tcn-182516_cn1579971797315255000_thr750.Sg_bord_crossing.jpg,no
0126_10_26_00_i2867222_id187205_tcn-187205_cn1580034369988505000_thr1000.Sgl_different_place.jpg,no
0126_11_47_54_i2914588_id187506_tcn-187506_cn1580039274132678000_thr990._crossing.jpg,bag
0126_12_58_27_i2953401_id188151_tcn-188151_cn1580043518152818000_thr817.In_bord_.jpg,no
0126_13_13_42_i2961379_id188410_tcn-188404_cn1580044439863572000_thr934.Out_.jpg,no
0126_13_58_20_i2986000_id188736_tcn-188736_cn1580047108905576000_thr958._crossing.jpg,materials
0126_13_58_32_i2986029_id188765_tcn-188765_cn1580047133187913000_thr988.Sg_bord_crossing.jpg,materials
0127_09_58_13_i3668347_id195836_tcn-195836_cn1580119103021101000_thr829.Sg_bord_crossing.jpg,materials
0127_10_30_06_i3678565_id198261_tcn-198261_cn1580121023185223000_thr769.In_.jpg,no
0128_09_06_36_i4341876_id224631_tcn-224631_cn1580202411213739000_thr822.Sgl_different_place.jpg,no
0128_09_09_52_i4342959_id224748_tcn-224748_cn1580202609026249000_thr753.Sgl_crossing.jpg,bag
0128_09_28_36_i4349800_id225456_tcn-225456_cn1580203741286532000_thr780.Sgl_.jpg,no
0128_09_32_40_i4350527_id225641_tcn-225640_cn1580203976488687000_thr999.Out_different_place.jpg,no
0128_09_46_34_i4354719_id226395_tcn-226395_cn1580204809223351000_thr998._crossing.jpg,no
0128_11_08_11_i4384622_id229762_tcn-229754_cn1580209706559703000_thr998._crossing.jpg,backpack
0128_12_56_21_i4414866_id236693_tcn-236693_cn1580216197232225000_thr987.Sgl_different_place.jpg,no
0128_12_57_21_i4415095_id236757_tcn-236757_cn1580216267519046000_thr964.Sgl_different_place.jpg,no
0128_13_03_05_i4416579_id237136_tcn-237136_cn1580216583583981000_thr951.Out_bord_looks_different.jpg,no
0128_14_35_45_i4444136_id242947_tcn-242947_cn1580222170537811000_thr951.In_different_place.jpg,materials
0128_14_42_53_i4445285_id243301_tcn-243301_cn1580222597646352000_thr919._.jpg,bag
0128_14_44_44_i4445464_id243458_tcn-243458_cn1580222681852934000_thr567.Out_.jpg,materials
0128_16_03_47_i4468851_id246638_tcn-246638_cn1580227428690310000_thr643.In_.jpg,no
0128_16_23_17_i4474594_id247765_tcn-247765_cn1580228604209814000_thr991._crossing.jpg,no
0128_16_57_55_i4484207_id249460_tcn-249460_cn1580230653193020000_thr620.Out_.jpg,materials
0129_09_19_30_i5021392_id254969_tcn-254969_cn1580289594202325000_thr916.Sgl_crossing.jpg,materials
0129_10_04_07_i5030379_id257754_tcn-257754_cn1580292264808919000_thr749.Sg_bord_crossing.jpg,utils
0129_10_53_51_i5044243_id260289_tcn-260289_cn1580295257946264000_thr993.Sgl_different_place.jpg,no
0129_11_22_15_i5052327_id261502_tcn-261502_cn1580296959803899000_thr863.Sgl_looks_different.jpg,no
0129_15_54_25_i5140662_id273966_tcn-273965_cn1580313289400183000_thr953.Out_different_place.jpg,no
0130_13_46_32_i5771729_id294245_tcn-294245_cn1580392021811115000_thr716.Sgl_crossing.jpg,no
0130_16_04_53_i5803316_id299968_tcn-299965_cn1580400307866760000_thr970.Out_bord_.jpg,no
0130__10_17_51__i0633830__gcn0093193__0093194__person_1611991088456086084.png,utils
0131_09_34_53_i6345606_id307449_tcn-307449_cn1580463325422224000_thr759.Sgl_different_place.jpg,utils
0131_10_54_03_i6365670_id311039_tcn-311039_cn1580468077057552000_thr821.Sgl_crossing.jpg,utils
0131_10_55_40_i6365779_id311346_tcn-311346_cn1580468077057482000_thr996._different_place.jpg,no
0131_13_46_07_i6415056_id317413_tcn-317413_cn1580478392472044000_thr854.Out_.jpg,no
0131_14_18_08_i6424928_id318242_tcn-318242_cn1580480303442773000_thr961.Sgl_crossing.jpg,papers
0131_16_42_04_i6468067_id322924_tcn-322924_cn1580488940777696000_thr730.Out_.jpg,cables
0201_08_50_50_i7003837_id326762_tcn-326762_cn1580547073641438000_thr981.Out_different_place.jpg,bag
0201_09_28_35_i7017426_id328288_tcn-328288_cn1580549347686167000_thr964.Sgl_different_place.jpg,no
0201_11_44_58_i7058812_id333075_tcn-333075_cn1580557504499719000_thr996._.jpg,bag
0201_12_28_21_i7079988_id333561_tcn-333561_cn1580560119629472000_thr808.Sg_bord_crossing.jpg,bag
0203_09_29_37_i8373236_id365201_tcn-365201_cn1580722190572356000_thr997._crossing.jpg,bag
0203_09_32_10_i8373377_id365455_tcn-365455_cn1580722366078434000_thr892.Sgl_looks_different.jpg,no
0203_10_40_01_i8378584_id370655_tcn-370655_cn1580726407540130000_thr898.Out_.jpg,materials
0203_11_03_52_i8383435_id371523_tcn-371523_cn1580727867904961000_thr999.Sgl_looks_different.jpg,backpack
0203_11_27_09_i8389436_id372085_tcn-372085_cn1580729247009662000_thr950.Sgl_crossing.jpg,utils
0203_11_28_11_i8389956_id372086_tcn-372086_cn1580729311957384000_thr732.Sgl_crossing.jpg,materials
0203_17_10_36_i8479028_id382383_tcn-382383_cn1580749860461678000_thr844.Sgl_different_place.jpg,materials
0204_09_41_06_i8999753_id387219_tcn-387219_cn1580809289121412000_thr652.Out_different_place.jpg,no
0204_11_47_54_i9030838_id391411_tcn-391411_cn1580816897299445000_thr952._crossing.jpg,no
0204_14_24_36_i9096627_id393508_tcn-393508_cn1580826318129469000_thr997.In_bord_different_place.jpg,no
0204_16_28_44_i9132320_id396755_tcn-396755_cn1580833725712224000_thr716.Out_.jpg,no
0205_11_07_38_i9716310_id403890_tcn-403890_cn1580900884134093000_thr930.In_.jpg,no
0205_13_21_21_i9763923_id407155_tcn-407153_cn1580908899865940000_thr998._.jpg,no
0205_13_22_50_i9764222_id407267_tcn-407267_cn1580909010184926000_thr909.Sg_bord_.jpg,no
0205_13_46_54_i9768479_id408126_tcn-408126_cn1580910414937263000_thr711.Out_bord_.jpg,materials
0205_15_34_18_i9790619_id412745_tcn-412745_cn1580916876745065000_thr948.Sg_bord_crossing.jpg,no
0205_15_43_21_i9792248_id413157_tcn-413155_cn1580917441592807000_thr941._.jpg,no
0205_15_45_35_i9792499_id413220_tcn-413220_cn1580917577972985000_thr975.In_.jpg,no
0205_16_32_43_i9808713_id414258_tcn-414258_cn1580920395848840000_thr939.Sgl_looks_different.jpg,no
0206_08_33_13_i10317893_id419602_tcn-419602_cn1580978019400674000_thr973._different_place.jpg,no
0206_08_42_53_i10322170_id419771_tcn-419771_cn1580978616809149000_thr993.Out_bord_.jpg,no
0206_08_45_36_i10323315_id419803_tcn-419802_cn1580978743409286000_thr997._crossing.jpg,no
0206_09_05_11_i10331412_id420066_tcn-420066_cn1580979944396482000_thr992.In_.jpg,no
0206_09_06_39_i10331683_id420140_tcn-420140_cn1580979984285755000_thr809._crossing.jpg,no
0206_09_18_09_i10335244_id420381_tcn-420381_cn1580980711560041000_thr999._crossing.jpg,materials
0206_09_50_43_i10348201_id420845_tcn-420845_cn1580982673232239000_thr875.Sgl_looks_different.jpg,no
0206_11_08_27_i10381945_id421901_tcn-421901_cn1580987333740222000_thr995.Sgl_looks_different.jpg,no
0206_11_19_27_i10385516_id422110_tcn-422110_cn1580987990231828000_thr552.In_.jpg,no
0206_11_33_39_i10389440_id422417_tcn-422416_cn1580988845215245000_thr996._crossing.jpg,bag
0206_12_32_45_i10418780_id422975_tcn-422975_cn1580992402149631000_thr995.Sgl_.jpg,no
0206_12_32_56_i10418794_id423001_tcn-423001_cn1580992416869274000_thr557._crossing.jpg,no
0206_13_20_49_i10438545_id423575_tcn-423575_cn1580995293778184000_thr854.Sgl_different_place.jpg,materials
0206_13_49_58_i10451353_id423886_tcn-423886_cn1580997042648305000_thr995.Sgl_different_place.jpg,no
0206_13_53_53_i10452888_id423962_tcn-423962_cn1580997277910967000_thr638.In_different_place.jpg,utils
0206_14_11_24_i10460014_id424161_tcn-424161_cn1580998303493251000_thr934.In_bord_.jpg,bag
0206_14_57_30_i10480406_id424549_tcn-424549_cn1581001069440146000_thr916.Sg_bord_crossing.jpg,no
